name,display_size,chipset,storage,battery,charging,camera,price
Samsung Galaxy S24 Ultra,"6.8 inches, 113.5 cm 2 (~88.5% screen-to-body ratio)",Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",Li-Ion 5000 mAh,"45W wired, PD3.0, 65% in 30 min 15W wireless (Qi) 4.5W reverse wireless",Photo / Video,"$ 499.99 / € 605.31 / £ 488.72 / ₹ 99,990"
Samsung Galaxy S24,"6.2 inches, 94.4 cm 2 (~90.9% screen-to-body ratio)",Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm) - USA/Canada/China Exynos 2400 (4 nm) - International,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM",Li-Ion 4000 mAh,"25W wired, PD3.0, 50% in 30 min 15W wireless (Qi) 4.5W reverse wireless",Photo / Video,"$ 335.44 / € 429.90 / £ 296.00 / ₹ 54,499"
Samsung Galaxy S24+,"6.7 inches, 110.2 cm 2 (~91.6% screen-to-body ratio)",Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm) - USA/Canada/China Exynos 2400 (4 nm) - International,"256GB 12GB RAM, 512GB 12GB RAM",Li-Ion 4900 mAh,"45W wired, PD3.0, 65% in 30 min 15W wireless (Qi) 4.5W reverse wireless",Photo / Video,$ 391.23 / € 487.00 / £ 339.85
Samsung Galaxy S23 Ultra,"6.8 inches, 114.7 cm 2 (~89.9% screen-to-body ratio)",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",Li-Ion 5000 mAh,"45W wired, PD3.0, 65% in 30 min 15W wireless (Qi) 4.5W reverse wireless",Photo / Video,"$ 434.99 / € 416.02 / £ 424.99 / ₹ 84,999"
Samsung Galaxy S23,"6.1 inches, 90.1 cm 2 (~86.8% screen-to-body ratio)",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",Li-Ion 3900 mAh,"25W wired, PD3.0, 50% in 30 min 15W wireless (Qi) 4.5W reverse wireless",Photo / Video,"$ 249.99 / € 259.24 / £ 239.99 / ₹ 54,999"
Samsung Galaxy S23+,"6.6 inches, 105.3 cm 2 (~87.6% screen-to-body ratio)",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"256GB 8GB RAM, 512GB 8GB RAM",Li-Ion 4700 mAh,"45W wired, PD3.0, 65% in 30 min 15W wireless (Qi) 4.5W reverse wireless",Photo / Video,$ 309.50 / € 419.99 / £ 369.00
Samsung Galaxy S22 Ultra 5G,"6.8 inches, 114.7 cm 2 (~90.2% screen-to-body ratio)",Exynos 2200 (4 nm) - Europe Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm) - ROW,"128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",Li-Ion 5000 mAh,"45W wired, PD3.0 15W wireless (Qi) 4.5W reverse wireless",Photo / Video,$ 324.00 / € 370.00 / £ 284.99
Samsung Galaxy S22 5G,"6.1 inches, 90.1 cm 2 (~87.4% screen-to-body ratio)",Exynos 2200 (4 nm) - Europe Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm) - ROW,"128GB 8GB RAM, 256GB 8GB RAM",Li-Ion 3700 mAh,"25W wired, PD3.0 15W wireless (Qi) 4.5W reverse wireless",Photo / Video,$ 190.79 / € 239.00 / £ 189.99
Samsung Galaxy S21 Ultra 5G,"6.8 inches, 112.1 cm 2 (~89.8% screen-to-body ratio)",Exynos 2100 (5 nm) - International Qualcomm SM8350 Snapdragon 888 5G (5 nm) - USA/China,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",Li-Ion 5000 mAh,"25W wired, PD3.0 15W wireless (Qi) 4.5W reverse wireless",Photo / Video,$ 259.91 / € 257.96 / £ 214.99
Samsung Galaxy A55,"6.6 inches, 106.9 cm 2 (~85.8% screen-to-body ratio)",Exynos 1480 (4 nm),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Li-Ion 5000 mAh,25W wired,,"€ 266.89 / £ 239.99 / ₹ 47,990"
